Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1989-10-01,3.60197665113879,3.4028942298862,-0.267233787773524,-1.01877568079169,1.87990282127891,,,,,,,,,,,,,,,,,,,1989-10-01,1.60807608601971,1.04392131695401,0.399681039471703
1990-01-01,3.83669872497211,3.4877240146034,-0.128966163119322,-0.84714885551773,1.184235974295,,,,,,,,,,,,,,,,,,,1990-01-01,1.61785815801043,1.04042588255355,0.401352867324561
1990-04-01,3.76119101872244,3.39515129485726,-0.0992154306980131,-0.934295680936884,1.04569856829662,,,,,,,,,,,,,,,,,,,1990-04-01,1.61992249129889,1.03766499921163,0.403316649141411
1990-07-01,3.59207823342102,3.27277396580625,-0.129180888147816,-1.29281527236094,0.85966710409532,,,,,,,,,,,,,,,,,,,1990-07-01,1.61333826517538,1.03592682138917,0.405114702867004
1990-10-01,3.14768691902757,2.97874498282559,-0.239250906187139,-2.08102662791066,0.919890156807313,,,,,,,,,,,,,,,,,,,1990-10-01,1.61803258888702,1.03569612703598,0.405927501543787
1991-01-01,2.93975831228177,2.80978359165691,-0.255064467821796,-2.6598513477694,-0.0364419198735031,,,,,,,,,,,,,,,,,,,1991-01-01,1.64268478325409,1.03610538360296,0.406142799944565
1991-04-01,2.96882272704684,2.8758217332581,-0.301087743001845,-2.93466492551147,-0.339317931457056,,,,,,,,,,,,,,,,,,,1991-04-01,1.6400266572003,1.03634404698735,0.406536223221652
1991-07-01,2.93130401260386,2.78944270874656,-0.240390468123782,-2.69220743104938,-0.424891953806878,,,,,,,,,,,,,,,,,,,1991-07-01,1.65397670379488,1.0369703429574,0.406717008840627
1991-10-01,2.78124066555664,2.68379093397357,-0.27032403086827,-2.68322021136896,-1.10803273750067,,,,,,,,,,,,,,,,,,,1991-10-01,1.68346862530274,1.03800627787873,0.406600075687758
1992-01-01,2.86168988489469,2.74799976464408,-0.262882510599667,-2.40266266593142,-1.90998468407501,,,,,,,,,,,,,,,,,,,1992-01-01,1.68244518448568,1.03883093585253,0.406692871629299
1992-04-01,2.83775760793623,2.74268513028623,-0.280771861346722,-2.0246228196977,-2.08709446466436,,,,,,,,,,,,,,,,,,,1992-04-01,1.68812315664159,1.03976085979353,0.406752576463586
